,E,N,year,month,variable,predictions
0,20.482843,53.710861,2014,1,abs_temp_maks,8.670062793567382
1,16.2477,54.153613,2014,1,abs_temp_maks,9.956381598765159
2,17.183084,51.691261,2014,1,abs_temp_maks,10.614649472695584
3,16.790134,52.114888,2014,1,abs_temp_maks,11.391748796001407
4,17.260901999999998,50.847896,2014,1,abs_temp_maks,12.114459233758783
5,20.27488,49.970209000000004,2014,1,abs_temp_maks,12.163539891389211
6,22.649666,49.951308000000004,2014,1,abs_temp_maks,10.862225514210225
7,15.174479000000002,52.744631000000005,2014,1,abs_temp_maks,11.348325085211568
8,20.482843,53.710861,2014,2,abs_temp_maks,10.947127897599389
9,16.2477,54.153613,2014,2,abs_temp_maks,11.782074642715976
10,17.183084,51.691261,2014,2,abs_temp_maks,11.947963155258005
11,16.790134,52.114888,2014,2,abs_temp_maks,12.145752379370307
12,17.260901999999998,50.847896,2014,2,abs_temp_maks,11.936598907141866
13,20.27488,49.970209000000004,2014,2,abs_temp_maks,13.051481840693594
14,22.649666,49.951308000000004,2014,2,abs_temp_maks,12.94435057189911
15,15.174479000000002,52.744631000000005,2014,2,abs_temp_maks,12.47886246780007
16,20.482843,53.710861,2014,3,abs_temp_maks,20.482139318228185
17,16.2477,54.153613,2014,3,abs_temp_maks,18.6307308455632
18,17.183084,51.691261,2014,3,abs_temp_maks,22.219495405035758
19,16.790134,52.114888,2014,3,abs_temp_maks,22.471596751661032
20,17.260901999999998,50.847896,2014,3,abs_temp_maks,21.36372902032577
21,20.27488,49.970209000000004,2014,3,abs_temp_maks,22.146977252176264
22,22.649666,49.951308000000004,2014,3,abs_temp_maks,19.416733741377477
23,15.174479000000002,52.744631000000005,2014,3,abs_temp_maks,21.67353844507081
24,20.482843,53.710861,2014,4,abs_temp_maks,22.88581369361426
25,16.2477,54.153613,2014,4,abs_temp_maks,21.58062430383324
26,17.183084,51.691261,2014,4,abs_temp_maks,21.670801113113292
27,16.790134,52.114888,2014,4,abs_temp_maks,22.160522893931887
28,17.260901999999998,50.847896,2014,4,abs_temp_maks,22.369008370234106
29,20.27488,49.970209000000004,2014,4,abs_temp_maks,22.377607576980868
30,22.649666,49.951308000000004,2014,4,abs_temp_maks,21.680685213941896
31,15.174479000000002,52.744631000000005,2014,4,abs_temp_maks,22.57063765324451
32,20.482843,53.710861,2014,5,abs_temp_maks,29.571424956013445
33,16.2477,54.153613,2014,5,abs_temp_maks,30.140147300622573
34,17.183084,51.691261,2014,5,abs_temp_maks,28.4982853700012
35,16.790134,52.114888,2014,5,abs_temp_maks,29.46118938180611
36,17.260901999999998,50.847896,2014,5,abs_temp_maks,28.666206299792307
37,20.27488,49.970209000000004,2014,5,abs_temp_maks,28.526262975087505
38,22.649666,49.951308000000004,2014,5,abs_temp_maks,27.4293020415361
39,15.174479000000002,52.744631000000005,2014,5,abs_temp_maks,29.576062964029173
40,20.482843,53.710861,2014,6,abs_temp_maks,27.777793109325554
41,16.2477,54.153613,2014,6,abs_temp_maks,27.258515846388285
42,17.183084,51.691261,2014,6,abs_temp_maks,30.95169095376265
43,16.790134,52.114888,2014,6,abs_temp_maks,31.422684003621285
44,17.260901999999998,50.847896,2014,6,abs_temp_maks,32.3576706462027
45,20.27488,49.970209000000004,2014,6,abs_temp_maks,31.31355377903407
46,22.649666,49.951308000000004,2014,6,abs_temp_maks,29.99718313920844
47,15.174479000000002,52.744631000000005,2014,6,abs_temp_maks,31.456065199085824
48,20.482843,53.710861,2014,7,abs_temp_maks,32.625933130067395
49,16.2477,54.153613,2014,7,abs_temp_maks,31.986711905220517
50,17.183084,51.691261,2014,7,abs_temp_maks,34.27201916502241
51,16.790134,52.114888,2014,7,abs_temp_maks,34.61933354716517
52,17.260901999999998,50.847896,2014,7,abs_temp_maks,33.900868877317805
53,20.27488,49.970209000000004,2014,7,abs_temp_maks,30.7179804167606
54,22.649666,49.951308000000004,2014,7,abs_temp_maks,30.532896700448582
55,15.174479000000002,52.744631000000005,2014,7,abs_temp_maks,34.21546768815802
56,20.482843,53.710861,2014,8,abs_temp_maks,34.29238791543467
57,16.2477,54.153613,2014,8,abs_temp_maks,34.13944677003243
58,17.183084,51.691261,2014,8,abs_temp_maks,32.09180993306583
59,16.790134,52.114888,2014,8,abs_temp_maks,32.54515721407911
60,17.260901999999998,50.847896,2014,8,abs_temp_maks,30.947021527395883
61,20.27488,49.970209000000004,2014,8,abs_temp_maks,30.790497531888267
62,22.649666,49.951308000000004,2014,8,abs_temp_maks,31.290849963070563
63,15.174479000000002,52.744631000000005,2014,8,abs_temp_maks,32.22463534214538
64,20.482843,53.710861,2014,9,abs_temp_maks,26.61084214211002
65,16.2477,54.153613,2014,9,abs_temp_maks,25.878434667440917
66,17.183084,51.691261,2014,9,abs_temp_maks,26.867496725201566
67,16.790134,52.114888,2014,9,abs_temp_maks,26.65979770098182
68,17.260901999999998,50.847896,2014,9,abs_temp_maks,27.26213302426383
69,20.27488,49.970209000000004,2014,9,abs_temp_maks,25.939216791395527
70,22.649666,49.951308000000004,2014,9,abs_temp_maks,25.746733754999344
71,15.174479000000002,52.744631000000005,2014,9,abs_temp_maks,26.812845903983167
72,20.482843,53.710861,2014,10,abs_temp_maks,23.05300579429301
73,16.2477,54.153613,2014,10,abs_temp_maks,20.420318781836524
74,17.183084,51.691261,2014,10,abs_temp_maks,23.529309940540134
75,16.790134,52.114888,2014,10,abs_temp_maks,24.940754564588993
76,17.260901999999998,50.847896,2014,10,abs_temp_maks,24.226580183682522
