Lokalizacja;E;N
Bartazek;20.482843;53.710861
Bonin;16.2477;54.153613
Smolice;17.183084;51.691261
Borowo;16.790134;52.114888
Olesnica Ma³a;17.260902;50.847896
Grodkowice;20.27488;49.970209
O¿ansk;22.649666;49.951308
Malyszyn;15.174479;52.744631
